ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
236,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/8147365079632347877,404,Not Found,57,155,555
238,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/assets/6783840670620127791,404,Not Found,23,155,555
240,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/WEB-INF/web.xml,404,Not Found,9,155,555
241,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/WEB-INF/applicationContext.xml,404,Not Found,2,155,555
242,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/WEB-INF/classes/1/29/4.class,404,Not Found,2,155,555
243,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/vite.svg?-s,200,OK,16,243,1497
244,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/assets?-s,301,Moved Permanently,14,202,169
245,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/?-s,200,OK,15,238,452
246,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/?-s,200,OK,16,238,452
247,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,GET,http://localhost/assets/index-ChWqsiRt.css?-s,200,OK,36,240,16403
248,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,3,157,559
249,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,2,157,559
250,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,5,259,169
251,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets/index-ChWqsiRt.css?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,7,157,559
252,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,4,155,555
253,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/vite.svg?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,4,157,559
254,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,9,157,559
255,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets/index-G1fkhtb2.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,5,157,559
256,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,7,157,559
257,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,403,Forbidden,9,155,555
258,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets/index-ChWqsiRt.css?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,3,157,559
259,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,22,259,169
260,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,6,155,555
261,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets/index-G1fkhtb2.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,4,157,559
262,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/vite.svg?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,5,157,559
263,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,25,155,555
264,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/assets/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,403,Forbidden,5,155,555
265,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:10 PKT 2025,POST,http://localhost/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,3,155,555
266,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/assets/index-G1fkhtb2.js,200,OK,296,256,233212
267,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/robots.txt,404,Not Found,296,155,555
268,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/vite.svg,200,OK,295,243,1497
269,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/,200,OK,300,238,452
270,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/assets/index-ChWqsiRt.css,200,OK,298,240,16403
271,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/assets,301,Moved Permanently,300,199,169
272,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost,200,OK,306,238,452
273,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/assets/,403,Forbidden,299,155,555
274,Fri Dec 19 20:45:10 PKT 2025,Fri Dec 19 20:45:11 PKT 2025,GET,http://localhost/sitemap.xml,404,Not Found,294,155,555
